"CEP";"Quantidade"
"87260-000";"2,00"
"78830-000";"24,00"
"98590-000";"2,00"
"86125-000";"2,00"
"73770-000";"10,00"
"75828-000";"10,00"
"99870-000";"28,00"
"78888-000";"8,00"
"78888-000";"2,00"
"79150-142";"36,00"
"78870-000";"2,00"
"85877-000";"26,00"
"18225-000";"8,00"
"89440-000";"14,00"
"89300-230";"14,00"
"98270-000";"26,00"
"75650-000";"80,00"
"85045-370";"24,00"
"00067-730";"60,00"
"37418-899";"14,00"
"98270-000";"4,00"
"99036-000";"28,00"
"78810-000";"60,00"
"75915-000";"70,00"
"98680-000";"16,00"
"98680-000";"2,00"
"75803-615";"26,00"
"98590-000";"268,00"
"98590-000";"8,00"
"38755-000";"14,00"
"98590-000";"2,00"
"14078-630";"14,00"
"14078-630";"14,00"
"98700-000";"500,00"
"49026-225";"12,00"
"86465-000";"2,00"
"00003-040";"1,00"
"78620-000";"84,00"
"69315-212";"30,00"
"79700-000";"16,00"
"78578-000";"30,00"
"74425-360";"2,00"
"75184-000";"120,00"
"78505-000";"36,00"
"49075-290";"24,00"
"47855-724";"68,00"
"79490-000";"2,00"
"87560-000";"4,00"
"85892-000";"4,00"
"76997-000";"54,00"
"78850-000";"36,00"
"78850-000";"314,00"
"98590-000";"2,00"
"98920-000";"120,00"
"38616-014";"6,00"
"78319-000";"80,00"
"85980-000";"162,00"
"77580-000";"60,00"
"14078-630";"6,00"
"98590-000";"14,00"
"77685-000";"2,00"
"79158-899";"16,00"
"75834-066";"42,00"
"65800-000";"90,00"
"47865-899";"120,00"
"98590-000";"24,00"
"85980-000";"28,00"
"98590-000";"8,00"
"78480-000";"4,00"
"78310-000";"2,00"
"38609-899";"4,00"
"83904-705";"18,00"
"76265-000";"4,00"
"75906-490";"130,00"
"75180-000";"4,00"
"18744-899";"14,00"
"89370-000";"32,00"
"85440-000";"2,00"
"75832-100";"30,00"
"37570-000";"8,00"
"89466-560";"36,00"
"18400-170";"4,00"
"18400-170";"4,00"
"97800-000";"4,00"
"79150-110";"4,00"
"79150-110";"4,00"
"14024-270";"60,00"
"13190-000";"16,00"
"75908-420";"2,00"
"47650-000";"6,00"
"86828-000";"24,00"
"14302-518";"2,00"
"85200-019";"16,00"
"75850-000";"40,00"
"99140-000";"18,00"
"87850-000";"22,00"
"47822-899";"342,00"
"47822-899";"122,00"
"84950-000";"24,00"
"78590-000";"30,00"
"98240-000";"2,00"
"98240-000";"2,00"
"15150-000";"8,00"
"84035-380";"32,00"
"78663-000";"30,00"
"68560-000";"68,00"
"68560-000";"72,00"
"75880-000";"44,00"
"78635-000";"4,00"
"98680-000";"14,00"
"83909-000";"18,00"
"96760-000";"22,00"
"13190-000";"32,00"
"38309-899";"16,00"
"47990-000";"60,00"
"84990-000";"28,00"
"98590-000";"6,00"
"75820-000";"60,00"
"89469-899";"54,00"
"98270-000";"18,00"
"96450-000";"48,00"
"86140-000";"8,00"
"75570-000";"36,00"
"38623-899";"36,00"
"79493-899";"48,00"
"75804-066";"2,00"
"78460-500";"300,00"
"79150-104";"26,00"
"85927-000";"8,00"
"76400-000";"4,00"
"89980-000";"28,00"
"89980-000";"36,00"
"84130-000";"18,00"
"84130-000";"22,00"
"98130-000";"4,00"
"76997-000";"54,00"
"89642-000";"4,00"
"85730-000";"2,00"
"75980-000";"4,00"
"75980-000";"4,00"
"97800-000";"4,00"
"98590-000";"102,00"
"98590-000";"12,00"
"78880-000";"48,00"
"78880-000";"74,00"
"76255-000";"282,00"
"98590-000";"6,00"
"85225-000";"8,00"
"14580-000";"2,00"
"78452-011";"82,00"
"78850-000";"220,00"
"78528-000";"4,00"
"78470-000";"40,00"
"13722-278";"12,00"
"77455-000";"60,00"
"99350-000";"20,00"
"77380-000";"10,00"
"86192-300";"32,00"
"86192-300";"44,00"
"12570-000";"32,00"
"85501-049";"2,00"
"75913-899";"30,00"
"86990-000";"30,00"
"98920-000";"20,00"
"47650-000";"62,00"
"78898-899";"72,00"
"47650-000";"6,00"
"84470-000";"18,00"
"77500-000";"40,00"
"98590-000";"22,00"
"98920-000";"4,00"
"96230-000";"2,00"
"89340-000";"24,00"
"75865-000";"30,00"
"85690-061";"56,00"
"37940-000";"16,00"
"75802-110";"8,00"
"15170-000";"8,00"
"75820-000";"4,00"
"38120-000";"60,00"
"38120-000";"32,00"
"39350-000";"48,00"
"68143-000";"52,00"
"78850-000";"40,00"
"78620-000";"52,00"
"14640-452";"20,00"
"78330-000";"30,00"
"75803-300";"26,00"
"79157-899";"180,00"
"87355-000";"12,00"
"87270-000";"18,00"
"79493-899";"48,00"
"78545-000";"2,00"
"78870-000";"104,00"
"78870-000";"72,00"
"78870-000";"64,00"
"87365-000";"48,00"
"79849-899";"4,00"
"47990-000";"6,00"
"47822-899";"6,00"
"78420-000";"30,00"
"65940-000";"6,00"
"74430-080";"20,00"
"75834-392";"54,00"
"75834-392";"40,00"
"98590-000";"14,00"
"87560-000";"22,00"
"38120-000";"60,00"
"77448-899";"4,00"
"77700-000";"36,00"
"77700-000";"4,00"
"87345-000";"8,00"
"85225-000";"4,00"
"75180-000";"24,00"
"89440-000";"2,00"
"87270-000";"26,00"
"47650-000";"60,00"
"47865-899";"8,00"
"78430-000";"52,00"
"75825-000";"30,00"
"78470-000";"4,00"
"75780-000";"60,00"
"75110-250";"22,00"
"96170-000";"8,00"
"96090-840";"142,00"
"98590-000";"64,00"
"38554-899";"2,00"
"99750-000";"14,00"
"83904-705";"12,00"
"78870-000";"8,00"
"78870-000";"2,00"
"78870-000";"2,00"
"78870-000";"2,00"
"98590-000";"4,00"
"95305-000";"34,00"
"68560-000";"270,00"
"95305-000";"34,00"
"38630-000";"150,00"
"89610-000";"10,00"
"78587-000";"54,00"
"75620-000";"28,00"
"85200-059";"20,00"
"84400-000";"2,00"
"89620-000";"16,00"
"76990-000";"26,00"
