cep,quantidade,lat,lon,state,city,neighborhood,street,service
84165720,20.0,,,PR,Castro,Bom Sucesso,Rodovia PR-340,open-cep
84196200,68.0,,,PR,Castro,Colônia Castrolânda,,open-cep
84220000,4.0,,,PR,Sengés,,,open-cep
84507060,2.0,,,PR,Irati,Stroparo,Rua Trajano Gracia,open-cep
84570000,2.0,,,PR,Mallet,,,open-cep
84980000,60.0,,,PR,São José da Boa Vista,,,open-cep
85050290,2.0,,,PR,Guarapuava,Primavera,Rodovia PR-466,open-cep
85108000,24.0,,,PR,Guarapuava,Entre Rios,,open-cep
85118000,22.0,,,PR,Guarapuava,Palmeirinha,,open-cep
85195000,168.0,,,PR,Reserva do Iguaçu,,,open-cep
85200970,6.0,,,PR,Pitanga,Centro,Rua João G. Padilha 250,open-cep
85319899,4.0,,,PR,Laranjeiras do Sul,Área Rural de Laranjeiras do Sul,Área Rural,open-cep
85410000,10.0,,,PR,Nova Aurora,,,open-cep
85420000,2.0,,,PR,Corbélia,,,open-cep
85486012,2.0,,,PR,Três Barras do Paraná,Pioneiro,Rua Minas Gerais,open-cep
85525000,2.0,,,PR,Mariópolis,,,open-cep
85575000,2.0,,,PR,São Jorge D'Oeste,,,open-cep
85722150,2.0,,,PR,Medianeira,Itaipu,Avenida Brasil,open-cep
85840000,2.0,,,PR,Céu Azul,,,open-cep
85845000,26.0,,,PR,Vera Cruz do Oeste,,,open-cep
85927000,10.0,,,PR,Toledo,Novo Sarandi,,open-cep
85957000,4.0,,,PR,Maripá,Candeia,,open-cep
85960000,16.0,,,PR,Marechal Cândido Rondon,,,open-cep
85998000,4.0,,,PR,Mercedes,,,open-cep
86184310,52.0,,,PR,Cambé,Jardim Vitória,Rua Abel Pereira Nogueira,open-cep
86300000,14.0,,,PR,Cornélio Procópio,,,open-cep
87120000,4.0,,,PR,Floresta,,,open-cep
87225000,10.0,,,PR,Japurá,,,open-cep
87260000,2.0,,,PR,Araruna,,,open-cep
87340000,16.0,,,PR,Mamborê,,,open-cep
87365000,24.0,,,PR,Quarto Centenário,,,open-cep
